,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
139,7443-12702,0.0,0.473829166294,0.473829166294,39.4296165268,39.4296165268,220.239890858,220.239890858,1.1773962804,-20.8613,-18.0998
140,7495-12702,0.0,0.490339526417,0.490339526417,13.3709290204,13.3709290204,214.834000728,214.834000728,1.10412667946,-20.5381,-17.3772
141,7815-12702,0.0,0.717984682477,0.717984682477,-7.63274554073,-7.63274554073,218.964782403,218.964782403,1.18907563025,-18.88025,-16.97725
142,8341-12702,0.0,0.535165882249,0.535165882249,0.815521219658,0.815521219658,422.396441038,422.396441038,1.21797323136,-22.7352,-18.47735
143,8329-12702,0.0,0.707183145208,0.707183145208,-2.99278794659,-2.99278794659,200.393738171,200.393738171,1.16099249856,-17.4717,-15.82095
144,8243-12702,0.0,0.408680470054,0.408680470054,-0.368085711897,-0.368085711897,203.456698203,203.456698203,1.1234939759,-18.37885,-16.141
145,8439-12702,0.0,0.455832376998,0.455832376998,24.5791538969,24.5791538969,221.534661589,221.534661589,1.22792607803,-21.5491,-17.1311
146,8326-12702,0.0,0.413596736623,0.413596736623,17.4893834488,17.4893834488,207.617620971,207.617620971,1.19608778626,-19.6363,-17.4617
147,8602-12702,0.0,2.97775847159,2.97775847159,5.51064610337,5.51064610337,267.231490024,267.231490024,1.18791946309,-21.04675,-16.9616
148,8588-12702,0.0,1.2961337147,1.2961337147,9.03736610689,9.03736610689,225.957288568,225.957288568,1.12745786517,-20.2152,-18.46615
149,8615-12702,0.0,1.38871724942,1.38871724942,-7.39415833123,-7.39415833123,218.323984034,218.323984034,1.15225643189,-20.11475,-18.055
150,7991-12702,0.0,0.981272578198,0.981272578198,55.7979028935,55.7979028935,452.056197274,452.056197274,1.64102564103,-22.498,-17.6591
151,7977-12702,0.0,0.916555607279,0.916555607279,0.891755059873,0.891755059873,424.945087869,424.945087869,1.93181818182,-22.3073,-17.85115
152,7990-12702,0.0,0.668832489821,0.668832489821,7.11428091727,7.11428091727,206.807161643,206.807161643,1.20796460177,-20.3015,-16.07865
153,8459-12702,0.0,0.728755338266,0.728755338266,23.2179381978,23.2179381978,209.424721938,209.424721938,1.17576509512,-18.0371,-16.29475
154,8483-12702,0.0,0.187494439345,0.187494439345,3.81532410272,3.81532410272,205.15746235,205.15746235,1.09523809524,-18.3796,-15.88005
155,8618-12702,0.0,0.821068476059,0.821068476059,-55.3899474641,-55.3899474641,251.447683712,251.447683712,1.32142857143,-18.4165,-15.78415
156,8317-12702,0.0,1.8034530453,1.8034530453,-1.66733221872,-1.66733221872,340.9345048,340.9345048,1.3,-21.87455,-17.5935
157,8261-12702,0.0,1.07446928355,1.07446928355,157.446315213,157.446315213,227.03171664,227.03171664,1.89608574091,-22.1535,-18.2295
158,8451-12702,0.0,3.31187954035,3.31187954035,94.2611387516,94.2611387516,323.804738512,323.804738512,1.19836956522,-22.0769,-17.6142
159,8482-12702,0.0,3.80385220225,3.80385220225,-24.7208426421,-24.7208426421,211.111726193,211.111726193,1.31683168317,-22.13685,-17.85755
160,8082-12702,0.0,0.857894425613,0.857894425613,67.6566583145,67.6566583145,284.407460055,284.407460055,1.27516778523,-22.33865,-18.8255
161,8143-12702,0.0,0.368607117365,0.368607117365,12.3885366004,12.3885366004,221.530923661,221.530923661,1.23731343284,-20.0153,-17.129
162,8256-12702,0.0,1.22828364601,1.22828364601,25.4378923873,25.4378923873,201.4874693,201.4874693,1.15477386935,-17.88965,-15.86485
163,8249-12702,0.0,0.559480424007,0.559480424007,13.6731230532,13.6731230532,238.081569494,238.081569494,1.2375,-18.14205,-15.2576
164,8274-12702,0.0,0.977140377639,0.977140377639,30.355257725,30.355257725,187.792748997,187.792748997,1.21565217391,-17.88965,-15.86485
165,8258-12702,0.0,0.551438883859,0.551438883859,23.5387652818,23.5387652818,199.314981853,199.314981853,1.13014119091,-18.5146,-16.27035
166,8259-12702,0.0,0.69390445134,0.69390445134,4.63560633555,4.63560633555,209.798276251,209.798276251,1.0988372093,-19.46205,-16.86665
167,8244-12702,0.0,0.371472880644,0.371472880644,6.7112675928,6.7112675928,196.891436102,196.891436102,1.13370473538,-20.04725,-18.1928
168,8257-12702,0.0,1.9998322909,1.9998322909,10.6704042693,10.6704042693,209.814574292,209.814574292,1.15977791487,-19.16885,-17.30195
169,8440-12702,0.0,4.18313779747,4.18313779747,-46.433813957,-46.433813957,213.971159663,213.971159663,1.63513513514,-22.45605,-17.90475
170,8453-12702,0.0,1.2581558175,1.2581558175,35.5662678256,35.5662678256,212.734687477,212.734687477,1.10411418976,-19.1354,-16.8227
171,8611-12702,0.0,0.895860606323,0.895860606323,10.3936794412,10.3936794412,217.351893333,217.351893333,1.08419243986,-20.32655,-17.83895
172,8131-12702,0.0,0.77585667937,0.77585667937,-36.8973551602,-36.8973551602,725.524874502,725.524874502,1.66165413534,-22.89415,-18.64895
173,8083-12702,0.0,1.21851555234,1.21851555234,40.8670749041,40.8670749041,274.564136178,274.564136178,1.23933975241,-22.37365,-20.42445
