,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
70,8721-6103,0.398985088723,0.398985088723,25.3760902634,25.3760902634,280.762312931,280.762312931,1.28224582701,1.0
71,8725-9102,1.44494883599,1.44494883599,26.1162251398,26.1162251398,257.280064609,257.280064609,1.26519337017,1.0
72,8943-12701,0.810801401198,0.810801401198,30.5761421616,30.5761421616,231.335234474,231.335234474,1.22080136402,1.0
73,8945-12703,0.550564609743,0.550564609743,51.9507250447,51.9507250447,249.794175479,249.794175479,1.20256410256,1.0
74,8945-6103,1.37026379381,1.37026379381,23.1048926871,23.1048926871,326.394048599,326.394048599,1.25290697674,1.0
75,8946-3701,2.04435900432,2.04435900432,0.428671972786,0.428671972786,366.041855974,366.041855974,1.27064220183,1.0
76,8947-12703,2.77452340809,2.77452340809,25.0569743541,25.0569743541,242.3467824,242.3467824,1.28103837472,1.0
77,8947-3701,3.08640556223,3.08640556223,60.2146716952,60.2146716952,319.256791732,319.256791732,1.29373650108,1.0
78,8978-12701,0.917379573802,0.917379573802,25.638977686,25.638977686,229.658281021,229.658281021,1.13286713287,1.0
79,8978-6103,0.428795674585,0.428795674585,23.84629043,23.84629043,229.98757544,229.98757544,1.12222222222,1.0
80,8978-6104,0.78822774589,0.78822774589,21.3473314216,21.3473314216,217.880223211,217.880223211,1.26858877086,1.0
81,8979-6103,1.56748910458,1.56748910458,-31.1752504403,-31.1752504403,284.911680584,284.911680584,1.37172774869,1.0
82,9026-9101,1.71966103652,1.71966103652,19.7202548713,19.7202548713,257.987220453,257.987220453,1.21084337349,1.0
83,9049-1901,2.43083737124,2.43083737124,4.15158536138,4.15158536138,513.932138969,513.932138969,1.94303797468,1.0
84,10001-3702,1.03958199034,1.03958199034,14.3689016993,14.3689016993,268.277512742,268.277512742,1.17567567568,1.0
85,7443-12703,2.21271262475,2.21271262475,45.6352505404,45.6352505404,303.874187375,303.874187375,1.30969366345,1.0
86,7815-12703,1.17333577191,1.17333577191,-43.3653979232,-43.3653979232,484.068967923,484.068967923,1.45652173913,1.0
87,7960-3703,1.21499515197,1.21499515197,1.1009412465,1.1009412465,262.095961782,262.095961782,1.1981981982,1.0
88,7960-6103,0.652116327448,0.652116327448,35.5169043469,35.5169043469,159.802822949,159.802822949,1.08656716418,1.0
89,7962-12703,0.713424052502,0.713424052502,41.8705072391,41.8705072391,248.818854125,248.818854125,1.12648809524,1.0
90,7975-12704,1.19161450485,1.19161450485,105.278479314,105.278479314,258.35201264,258.35201264,1.25512528474,1.0
91,7977-12704,0.686646113145,0.686646113145,-2.63444298847,-2.63444298847,311.113081696,311.113081696,1.19888178914,1.0
92,7977-12705,0.426987409133,0.426987409133,20.4212885887,20.4212885887,275.123826816,275.123826816,1.12511130899,1.0
93,7990-9101,0.347135557767,0.347135557767,-0.968510214151,-0.968510214151,204.477626222,204.477626222,1.08982035928,1.0
94,7992-6103,2.9964234352,2.9964234352,-63.7029028932,-63.7029028932,301.549245352,301.549245352,1.50517241379,1.0
95,7992-6104,1.64018308623,1.64018308623,21.1467477781,21.1467477781,228.987018833,228.987018833,1.25404530744,1.0
96,8081-9101,0.492442307238,0.492442307238,11.9322128573,11.9322128573,226.603231935,226.603231935,1.08309178744,1.0
97,8082-12703,1.2684701829,1.2684701829,9.41098414201,9.41098414201,270.655492884,270.655492884,1.24652777778,1.0
98,8082-12704,0.241720838151,0.241720838151,58.7158906915,58.7158906915,432.586550054,432.586550054,1.81967213115,1.0
99,8083-12703,0.797946383403,0.797946383403,32.8187278419,32.8187278419,230.332803228,230.332803228,1.14692787177,1.0
100,8133-9101,0.50863911638,0.50863911638,-24.5902446005,-24.5902446005,266.419208724,266.419208724,1.16164383562,1.0
101,8133-9102,4.09503626713,4.09503626713,-15.1578901834,-15.1578901834,392.821485632,392.821485632,1.48214285714,1.0
102,8138-6101,1.7994637774,1.7994637774,-50.4420407777,-50.4420407777,313.336219308,313.336219308,1.27022900763,1.0
103,8146-1902,0.538996331815,0.538996331815,-0.798721995058,-0.798721995058,288.421000632,288.421000632,1.36082474227,1.0
104,8155-3703,2.45469534001,2.45469534001,13.6974463227,13.6974463227,296.56786045,296.56786045,1.28929384966,1.0
105,8244-12705,1.00196890524,1.00196890524,25.953113139,25.953113139,202.633427271,202.633427271,1.25469168901,1.0
106,8244-6102,0.227436661344,0.227436661344,4.51788157151,4.51788157151,221.711341154,221.711341154,1.17400881057,1.0
107,8250-12704,0.864704428029,0.864704428029,12.513312084,12.513312084,350.15043255,350.15043255,1.25342090859,1.0
108,8250-6104,0.403377022523,0.403377022523,-1.41521632394,-1.41521632394,328.967739028,328.967739028,1.27377892031,1.0
109,8252-12704,0.502341496306,0.502341496306,0.136168947902,0.136168947902,207.582372026,207.582372026,1.1967769296,1.0
110,8252-6103,2.16776490029,2.16776490029,55.3933618872,55.3933618872,300.6293883,300.6293883,1.37994143485,1.0
111,8252-9101,0.420801915893,0.420801915893,35.5670298107,35.5670298107,276.577947731,276.577947731,1.15118110236,1.0
112,8257-3703,0.589088697985,0.589088697985,-23.9807923596,-23.9807923596,347.276692629,347.276692629,1.27145708583,1.0
113,8257-9102,0.444535709524,0.444535709524,40.5639886288,40.5639886288,300.147164357,300.147164357,1.16868592731,1.0
114,8258-9101,0.743181080811,0.743181080811,81.6211583566,81.6211583566,255.262884621,255.262884621,1.22447943118,1.0
115,8259-3702,0.388516105403,0.388516105403,26.3632162058,26.3632162058,236.130137812,236.130137812,1.14542728636,1.0
116,8259-6103,0.530039845495,0.530039845495,-0.238943483361,-0.238943483361,448.04268228,448.04268228,1.27247191011,1.0
117,8261-6104,1.59237946305,1.59237946305,7.6890674051,7.6890674051,173.180445538,173.180445538,1.20547945205,1.0
118,8262-12701,0.410582928334,0.410582928334,-13.1252989558,-13.1252989558,212.864923872,212.864923872,1.15146299484,1.0
119,8262-3701,2.23747034262,2.23747034262,19.8359852461,19.8359852461,258.660203087,258.660203087,1.25742574257,1.0
120,8263-12702,0.247465904465,0.247465904465,27.2220857388,27.2220857388,250.831490134,250.831490134,1.10256410256,1.0
121,8263-3701,0.234672010516,0.234672010516,48.6928943396,48.6928943396,234.365161732,234.365161732,1.27372262774,1.0
122,8313-3703,2.37198287798,2.37198287798,14.4235889744,14.4235889744,243.412761809,243.412761809,1.27592592593,1.0
123,8317-12703,1.18196427018,1.18196427018,49.803932341,49.803932341,217.157682188,217.157682188,1.28361858191,1.0
124,8318-12702,1.33861557689,1.33861557689,-30.6683015604,-30.6683015604,269.230264447,269.230264447,1.11737089202,1.0
125,8320-12702,0.431517815114,0.431517815114,-6.35819892511,-6.35819892511,239.640760834,239.640760834,1.14418604651,1.0
126,8320-3702,0.652161848545,0.652161848545,1.29416997933,1.29416997933,247.246510851,247.246510851,1.16541353383,1.0
127,8326-12701,0.62052299938,0.62052299938,-20.4503476825,-20.4503476825,223.89471514,223.89471514,1.26192703461,1.0
128,8326-6102,2.66153141078,2.66153141078,8.48122362895,8.48122362895,378.213529815,378.213529815,1.39317773788,1.0
129,8332-9102,0.961443810972,0.961443810972,42.6153106992,42.6153106992,267.273333546,267.273333546,1.23139158576,1.0
130,8333-12703,1.06064143508,1.06064143508,30.7088046816,30.7088046816,238.788968297,238.788968297,1.18454038997,1.0
131,8335-12703,0.426213768784,0.426213768784,5.60315621207,5.60315621207,211.363982135,211.363982135,1.1038961039,1.0
132,8338-6101,0.614020944728,0.614020944728,-8.14007317846,-8.14007317846,280.245412656,280.245412656,1.19469026549,1.0
133,8439-6102,1.57698549926,1.57698549926,-26.3730971131,-26.3730971131,434.651616247,434.651616247,1.24019607843,1.0
134,8448-12704,0.547999877458,0.547999877458,-28.4984266739,-28.4984266739,242.677978477,242.677978477,1.13010590015,1.0
135,8448-3701,0.543661337949,0.543661337949,15.5269641364,15.5269641364,229.079256327,229.079256327,1.11646586345,1.0
136,8449-6104,0.831770548223,0.831770548223,6.89967485586,6.89967485586,169.143655869,169.143655869,1.20535714286,1.0
137,8450-12703,0.1854435522,0.1854435522,29.4787599604,29.4787599604,211.173233941,211.173233941,1.14814814815,1.0
138,8453-1901,0.903460406163,0.903460406163,29.4803904808,29.4803904808,315.935448172,315.935448172,1.27034120735,1.0
139,8453-3704,0.930649189329,0.930649189329,6.58072453497,6.58072453497,304.327070862,304.327070862,1.16909620991,1.0
140,8455-6102,2.67535748571,2.67535748571,-23.9402669522,-23.9402669522,235.230773624,235.230773624,1.42857142857,1.0
141,8458-12701,0.465948439189,0.465948439189,25.2311196206,25.2311196206,257.174903139,257.174903139,1.13191489362,1.0
142,8458-12703,0.783208767607,0.783208767607,54.487518816,54.487518816,311.884117948,311.884117948,1.29819277108,1.0
143,8464-3702,0.713952973976,0.713952973976,47.1585142172,47.1585142172,391.210081448,391.210081448,1.33674963397,1.0
144,8465-9102,3.21016181644,3.21016181644,4.12519165073,4.12519165073,265.937505777,265.937505777,1.19267822736,1.0
145,8483-6101,2.57514705256,2.57514705256,19.7763252434,19.7763252434,295.144520561,295.144520561,1.26966292135,1.0
146,8484-12704,3.21467683972,3.21467683972,43.0464541912,43.0464541912,277.197360142,277.197360142,1.25304136253,1.0
147,8547-12701,1.24577857762,1.24577857762,-11.7030142581,-11.7030142581,307.541378617,307.541378617,1.3099219621,1.0
148,8547-9102,0.263449388266,0.263449388266,25.1386018168,25.1386018168,330.515880481,330.515880481,1.37058823529,1.0
149,8548-6104,0.620489387386,0.620489387386,17.0498240499,17.0498240499,316.828495158,316.828495158,1.24266144814,1.0
150,8550-3701,2.77022487539,2.77022487539,59.2875960378,59.2875960378,399.105291192,399.105291192,1.27777777778,1.0
151,8553-1901,32.4999299622,32.4999299622,64.2719992894,64.2719992894,373.678934904,373.678934904,1.76986754967,1.0
152,8554-12705,0.642130073644,0.642130073644,27.6114430433,27.6114430433,221.548481015,221.548481015,1.15187376726,1.0
153,8555-12702,0.682825485213,0.682825485213,58.9551283674,58.9551283674,262.621110577,262.621110577,1.22554347826,1.0
154,8555-1901,1.80638502478,1.80638502478,13.3014450108,13.3014450108,303.366885717,303.366885717,1.22727272727,1.0
155,8588-6101,1.38373423171,1.38373423171,20.4969588311,20.4969588311,282.517100163,282.517100163,1.16181953766,1.0
156,8595-1902,1.1510555026,1.1510555026,6.21636964794,6.21636964794,248.549688924,248.549688924,1.2850877193,1.0
157,8595-3703,1.65378051648,1.65378051648,120.916945513,120.916945513,443.222474699,443.222474699,1.35952848723,1.0
158,8597-1901,0.6161112381,0.6161112381,-5.4399446875,-5.4399446875,250.996603638,250.996603638,1.14414414414,1.0
159,8597-9102,1.50364079499,1.50364079499,20.1538408614,20.1538408614,199.366231425,199.366231425,1.15217391304,1.0
160,8600-6102,0.551698320382,0.551698320382,0.175581188835,0.175581188835,253.172510196,253.172510196,1.19396551724,1.0
161,8601-6103,0.388038344,0.388038344,-13.1701525693,-13.1701525693,255.226737774,255.226737774,1.13711151737,1.0
162,8604-12702,0.63471313137,0.63471313137,2.65054867774,2.65054867774,265.138925985,265.138925985,1.11470408786,1.0
163,8611-12704,0.517497528252,0.517497528252,17.9377987347,17.9377987347,251.275011913,251.275011913,1.11836962591,1.0
164,8611-9102,0.388042539853,0.388042539853,12.0279348415,12.0279348415,232.450643079,232.450643079,1.14017094017,1.0
165,8612-9102,1.4134482106,1.4134482106,56.0702875908,56.0702875908,155.031948885,155.031948885,1.13333333333,1.0
166,8616-9101,4.62409445606,4.62409445606,-76.4441697273,-76.4441697273,222.731897126,222.731897126,1.33891992551,1.0
167,8618-12701,0.79632865676,0.79632865676,1.79839112295,1.79839112295,225.308006138,225.308006138,1.12684989429,1.0
168,8618-3703,0.214791657999,0.214791657999,-1.61041030676,-1.61041030676,187.577797606,187.577797606,1.18181818182,1.0
169,8623-12702,0.576675933817,0.576675933817,33.9267353929,33.9267353929,236.296300385,236.296300385,1.17946505608,1.0
170,8626-12704,3423.67485215,3423.67485215,11.1511925953,11.1511925953,275.074979995,275.074979995,1.29391748192,1.0
171,8626-3703,0.679615287107,0.679615287107,26.3787091484,26.3787091484,221.501806265,221.501806265,1.14814814815,1.0
172,8655-3701,0.916931482292,0.916931482292,-9.66645244572,-9.66645244572,386.021480032,386.021480032,1.22878228782,1.0
173,8655-6101,1.88236752584,1.88236752584,7.98168918105,7.98168918105,248.617170981,248.617170981,1.2271468144,1.0
174,8714-1901,0.150517020892,0.150517020892,19.3925744156,19.3925744156,223.379239185,223.379239185,1.2298136646,1.0
175,8716-12704,0.866893766839,0.866893766839,23.259170919,23.259170919,191.659609689,191.659609689,1.07228915663,1.0
176,8718-6102,4.05263642178,4.05263642178,24.995200862,24.995200862,263.439441106,263.439441106,1.16738197425,1.0
177,8719-6101,0.310558213157,0.310558213157,31.7312659531,31.7312659531,216.429760292,216.429760292,1.10479041916,1.0
178,8719-9102,0.753170534739,0.753170534739,18.6766727968,18.6766727968,254.379167354,254.379167354,1.08939213349,1.0
179,8726-12701,0.411788638777,0.411788638777,18.6176382995,18.6176382995,244.189811014,244.189811014,1.17279411765,1.0
180,8943-12704,2.97058834701,2.97058834701,58.677663906,58.677663906,299.537476446,299.537476446,1.30962343096,1.0
181,8943-1901,1.10925959502,1.10925959502,14.385741987,14.385741987,308.217800431,308.217800431,1.23357664234,1.0
182,8943-6102,5.97524378757,5.97524378757,15.3553132058,15.3553132058,243.863073526,243.863073526,1.25443786982,1.0
183,8947-12702,1.0884626322,1.0884626322,8.08086377136,8.08086377136,220.978159088,220.978159088,1.19827586207,1.0
184,8950-12701,0.457844011138,0.457844011138,31.8828717532,31.8828717532,268.969648568,268.969648568,1.17355371901,1.0
185,8952-6103,0.676821343504,0.676821343504,31.032864949,31.032864949,288.138977642,288.138977642,1.19696969697,1.0
186,8987-9102,0.814163810122,0.814163810122,-7.22981156224,-7.22981156224,303.919034591,303.919034591,1.22281167109,1.0
187,9026-6101,1.41790560598,1.41790560598,21.1930053947,21.1930053947,223.179803271,223.179803271,1.23201856148,1.0
188,9029-6104,0.179046884719,0.179046884719,-47.303859231,-47.303859231,205.205761695,205.205761695,1.15340909091,1.0
189,9042-12703,1.13651926599,1.13651926599,-15.9876156418,-15.9876156418,265.776818951,265.776818951,1.12371134021,1.0
190,9049-12704,0.392917802968,0.392917802968,-3.35073633315,-3.35073633315,435.225590285,435.225590285,1.35772357724,1.0
191,9049-3702,0.250140902843,0.250140902843,46.6848548448,46.6848548448,305.154449517,305.154449517,1.12921348315,1.0
192,9049-6104,0.443539674639,0.443539674639,26.6018140476,26.6018140476,337.189372391,337.189372391,1.44072948328,1.0
193,7957-12703,0.434205664044,0.434205664044,-35.8458723617,-35.8458723617,474.445725559,474.445725559,1.88709677419,1.0
194,7960-12702,1.36436093165,1.36436093165,13.0773421985,13.0773421985,221.502243814,221.502243814,1.09055876686,1.0
195,7975-1902,1.14819364163,1.14819364163,13.5167732129,13.5167732129,259.373003201,259.373003201,1.542,1.0
196,7990-12704,0.312722078975,0.312722078975,18.8651167702,18.8651167702,206.10485713,206.10485713,1.15993404782,1.0
197,7990-6102,1.26503699576,1.26503699576,-1.55465535884,-1.55465535884,161.413167507,161.413167507,1.2380952381,1.0
198,7992-1902,1.08696200871,1.08696200871,13.3441666248,13.3441666248,261.245455553,261.245455553,1.39540229885,1.0
199,8078-12701,0.647172812833,0.647172812833,28.7905725246,28.7905725246,224.199874935,224.199874935,1.18569636136,1.0
