,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss
215,8156-12702,0.0,0.421289556423,0.421289556423,8.54871017338,8.54871017338,205.139835968,205.139835968,1.09900497512
216,8567-12702,0.0,8.75916445769,8.75916445769,-0.312543359126,-0.312543359126,368.67099598,368.67099598,1.41304347826
217,8077-12702,0.0,0.722667841915,0.722667841915,19.2009452045,19.2009452045,217.799853572,217.799853572,1.09583333333
218,8078-12702,0.0,0.563783056354,0.563783056354,8.04361293933,8.04361293933,208.421852383,208.421852383,1.11168164313
219,8086-12702,0.0,1.37543566467,1.37543566467,-130.434395559,-130.434395559,219.213597031,219.213597031,1.19093610698
220,8566-12702,0.0,1.18529404085,1.18529404085,12.6408593563,12.6408593563,214.560604085,214.560604085,1.17126546147
221,8155-12702,0.0,0.696383445562,0.696383445562,30.3207176714,30.3207176714,164.275620549,164.275620549,1.26923076923
222,8147-12702,0.0,2.50125868434,2.50125868434,10.7572565247,10.7572565247,105.558765552,105.558765552,1.15957446809
223,8146-12702,0.0,1.23352293206,1.23352293206,4.49637912137,4.49637912137,278.598054615,278.598054615,1.20352149146
224,8728-12702,0.0,0.427734933955,0.427734933955,10.1925155545,10.1925155545,365.142243007,365.142243007,1.17647058824
225,8145-12702,0.0,0.115750401717,0.115750401717,60.7028754504,60.7028754504,64.0974440909,64.0974440909,1.5
226,8149-12702,0.0,1.09181605433,1.09181605433,35.7168583822,35.7168583822,222.261887616,222.261887616,1.22546419098
227,8713-12702,0.0,1.01395154311,1.01395154311,25.6099481579,25.6099481579,205.03334296,205.03334296,1.13039014374
228,8726-12702,0.0,0.400770473142,0.400770473142,18.7114946805,18.7114946805,246.411971381,246.411971381,1.29906542056
229,8719-12702,0.0,4.51124428382,4.51124428382,-11.9828022338,-11.9828022338,267.37822885,267.37822885,1.27207899067
230,8461-12702,0.0,0.997073713478,0.997073713478,17.4167047511,17.4167047511,208.423094482,208.423094482,1.09206349206
231,8721-12702,0.0,0.405286533485,0.405286533485,21.2599167677,21.2599167677,223.039989954,223.039989954,1.1404494382
